,errors,samples_type
398,1.0,train
399,1.0,train
400,1.0,train
401,1.0,train
402,1.0,train
403,1.0,train
404,1.0,train
405,1.0,train
406,1.0,train
407,1.0,train
408,1.0,train
409,1.0,train
410,1.0,train
411,1.0,train
412,1.0,train
413,1.0,train
414,1.0,train
415,1.0,train
416,1.0,train
417,1.0,train
418,1.0,train
419,1.0,train
420,1.0,train
421,1.0,train
422,1.0,train
423,1.0,train
424,1.0,train
425,1.0,train
426,1.0,train
427,1.0,train
428,1.0,train
429,1.0,train
430,1.0,train
431,1.0,train
432,1.0,train
433,1.0,train
434,1.0,train
435,1.0,train
436,1.0,train
437,1.0,train
438,1.0,train
439,1.0,train
440,1.0,train
441,1.0,train
442,1.0,train
443,1.0,train
444,1.0,train
445,1.0,train
446,1.0,train
447,1.0,train
448,1.0,train
449,1.0,train
450,1.0,train
451,1.0,train
452,1.0,train
453,1.0,train
454,1.0,train
455,1.0,train
456,1.0,train
457,1.0,train
458,1.0,train
459,1.0,train
460,1.0,train
461,1.0,train
462,1.0,train
463,1.0,train
464,1.0,train
465,1.0,train
466,1.0,train
467,1.0,train
468,1.0,train
469,1.0,train
470,1.0,train
471,1.0,train
472,1.0,train
473,1.0,train
474,1.0,train
475,1.0,train
476,1.0,train
477,1.0,train
478,1.0,train
479,1.0,train
480,1.0,train
481,1.0,train
482,1.0,train
483,1.0,train
484,1.0,train
485,1.0,train
486,1.0,train
487,1.0,train
488,1.0,train
489,1.0,train
490,1.0,train
491,1.0,train
492,1.0,train
493,1.0,train
494,1.0,train
495,1.0,train
496,1.0,train
497,1.0,train
498,1.0,train
499,1.0,train
500,1.0,train
501,1.0,train
502,1.0,train
503,1.0,train
504,1.0,train
505,1.0,train
506,1.0,train
507,1.0,train
508,1.0,train
509,1.0,train
510,1.0,train
511,1.0,train
512,1.0,train
513,1.0,train
514,1.0,train
515,1.0,train
516,1.0,train
517,1.0,train
518,1.0,train
519,1.0,train
520,1.0,train
521,1.0,train
522,1.0,train
523,1.0,train
524,1.0,train
525,1.0,train
526,1.0,train
527,1.0,train
528,1.0,train
529,1.0,train
530,1.0,train
531,1.0,train
532,1.0,train
533,1.0,train
534,1.0,train
535,1.0,train
536,1.0,train
537,1.0,train
538,1.0,train
539,1.0,train
540,1.0,train
541,1.0,train
542,1.0,train
543,1.0,train
544,1.0,train
545,1.0,train
546,1.0,train
547,1.0,train
548,1.0,train
549,1.0,train
550,1.0,train
551,1.0,train
552,1.0,train
553,1.0,train
554,1.0,train
555,1.0,train
556,1.0,train
557,1.0,train
558,1.0,train
559,1.0,train
560,1.0,train
561,1.0,train
562,1.0,train
563,1.0,train
564,1.0,train
565,1.0,train
566,1.0,train
567,1.0,train
568,1.0,train
569,1.0,train
570,1.0,train
571,1.0,train
572,1.0,train
573,1.0,train
574,1.0,train
575,1.0,train
576,1.0,train
577,1.0,train
578,1.0,train
579,1.0,train
580,1.0,train
581,1.0,train
582,1.0,train
583,1.0,train
584,1.0,train
585,1.0,train
586,1.0,train
587,1.0,train
588,1.0,train
589,1.0,train
590,1.0,train
591,1.0,train
592,1.0,train
593,1.0,train
594,1.0,train
595,1.0,train
596,1.0,train
597,1.0,train
598,1.0,train
599,1.0,train
600,1.0,train
601,1.0,train
602,1.0,train
603,1.0,train
604,1.0,train
605,1.0,train
606,1.0,train
607,1.0,train
608,1.0,train
609,1.0,train
610,1.0,train
611,1.0,train
612,1.0,train
613,1.0,train
614,1.0,train
615,1.0,train
616,1.0,train
617,1.0,train
618,1.0,train
619,1.0,train
620,1.0,train
621,1.0,train
622,1.0,train
623,1.0,train
624,1.0,train
625,1.0,train
626,1.0,train
627,1.0,train
628,1.0,train
629,1.0,train
630,1.0,train
631,1.0,train
632,1.0,train
633,1.0,train
634,1.0,train
635,1.0,train
636,1.0,train
637,1.0,train
638,1.0,train
639,1.0,train
640,1.0,train
641,1.0,train
642,1.0,train
643,1.0,train
644,1.0,train
645,1.0,train
646,1.0,train
647,1.0,train
648,1.0,train
649,1.0,train
650,1.0,train
651,1.0,train
652,1.0,train
653,1.0,train
654,1.0,train
655,1.0,train
656,1.0,train
657,1.0,train
658,1.0,train
659,1.0,train
660,1.0,train
661,1.0,train
662,1.0,train
663,1.0,train
664,1.0,train
665,1.0,train
666,1.0,train
667,1.0,train
668,1.0,train
669,1.0,train
670,1.0,train
671,1.0,train
672,1.0,train
673,1.0,train
674,1.0,train
675,1.0,train
676,1.0,train
677,1.0,train
678,1.0,train
679,1.0,train
680,1.0,train
681,1.0,train
682,1.0,train
683,1.0,train
684,1.0,train
685,1.0,train
686,1.0,train
687,1.0,train
688,1.0,train
689,1.0,train
690,1.0,train
691,1.0,train
692,1.0,train
693,1.0,train
694,1.0,train
695,1.0,train
696,1.0,train
697,1.0,train
698,1.0,train
699,1.0,train
700,1.0,train
701,1.0,train
702,1.0,train
703,1.0,train
704,1.0,train
705,1.0,train
706,1.0,train
707,1.0,train
708,1.0,train
709,1.0,train
710,1.0,train
711,1.0,train
712,1.0,train
713,1.0,train
714,1.0,train
715,1.0,train
716,1.0,train
717,1.0,train
718,1.0,train
719,1.0,train
720,1.0,train
721,1.0,train
722,1.0,train
723,1.0,train
724,1.0,train
725,1.0,train
726,1.0,train
727,1.0,train
728,1.0,train
729,1.0,train
730,1.0,train
731,1.0,train
732,1.0,train
733,1.0,train
734,1.0,train
735,1.0,train
736,1.0,train
737,1.0,train
738,1.0,train
739,1.0,train
740,1.0,train
741,1.0,train
742,1.0,train
743,1.0,train
744,1.0,train
745,1.0,train
746,1.0,train
747,1.0,train
748,1.0,train
749,1.0,train
750,1.0,train
751,1.0,train
752,1.0,train
753,1.0,train
754,1.0,train
755,1.0,train
756,1.0,train
757,1.0,train
758,1.0,train
759,1.0,train
760,1.0,train
761,1.0,train
762,1.0,train
763,1.0,train
764,1.0,train
765,1.0,train
766,1.0,train
767,1.0,train
768,1.0,train
769,1.0,train
770,1.0,train
771,1.0,train
772,1.0,train
773,1.0,train
774,1.0,train
775,1.0,train
776,1.0,train
777,1.0,train
778,1.0,train
779,1.0,train
780,1.0,train
781,1.0,train
782,1.0,train
783,1.0,train
784,1.0,train
785,1.0,train
786,1.0,train
787,1.0,train
788,1.0,train
789,1.0,train
790,1.0,train
791,1.0,train
792,1.0,train
793,1.0,train
794,1.0,train
795,1.0,train
796,1.0,train
797,1.0,train
798,1.0,train
799,1.0,train
800,1.0,train
801,1.0,train
802,1.0,train
803,1.0,train
804,1.0,train
805,1.0,train
806,1.0,train
807,1.0,train
808,1.0,train
809,1.0,train
810,1.0,train
811,1.0,train
812,1.0,train
813,1.0,train
814,1.0,train
815,1.0,train
816,1.0,train
817,1.0,train
818,1.0,train
819,1.0,train
820,1.0,train
821,1.0,train
822,1.0,train
823,1.0,train
824,1.0,train
825,1.0,train
826,1.0,train
827,1.0,train
828,1.0,train
829,1.0,train
830,1.0,train
831,1.0,train
832,1.0,train
833,1.0,train
834,1.0,train
835,1.0,train
836,1.0,train
837,1.0,train
838,1.0,train
839,1.0,train
840,1.0,train
841,1.0,train
842,1.0,train
843,1.0,train
844,1.0,train
845,1.0,train
846,1.0,train
847,1.0,train
848,1.0,train
849,1.0,train
850,1.0,train
851,1.0,train
852,1.0,train
853,1.0,train
854,1.0,train
855,1.0,train
856,1.0,train
857,1.0,train
858,1.0,train
859,1.0,train
860,1.0,train
861,1.0,train
862,1.0,train
863,1.0,train
864,1.0,train
865,1.0,train
866,1.0,train
867,1.0,train
