,errors,samples_type
0,1.671797502992988,train
1,1119.142857142857,train
2,1119.142857142857,train
3,3.2213813500347945,train
4,5.033578597553406,train
5,5.033578597553406,train
6,3.2213813500347945,train
7,1.0,train
8,829.8994413407821,train
9,829.8994413407821,train
10,1230.5882352941176,train
11,1230.5882352941176,train
12,2.400000183969454,train
13,3.5206226267183336,train
14,3.5206226267183336,train
15,2.400000183969454,train
16,2.399999787795144,train
17,2.399999787795144,train
18,2.3999187469565704,train
19,1.3333333333333333,train
20,163.75,train
21,240.83333333333334,train
22,425.375,train
23,655.3333333333334,train
24,128.3503448275862,train
25,30.616071428571427,train
26,131.6934865900383,train
27,45.05,train
28,252.27733333333333,train
29,78.51724137931035,train
30,274.7481481481482,train
31,122.95238095238095,train
32,1.0,train
33,1.1651421541094975,train
34,1.652722443559097,train
35,1.5857840101082674,train
36,9.25157619560203,train
37,2.8037551639973435,train
38,4.118961206548915,train
39,3.938716326334963,train
40,1.7687881928313618,train
41,2.405272938918047,train
42,1.0864393518013356,train
43,1.0053820097111998,train
44,4.248738490842729,train
45,2.114318185616633,train
46,1.1135085364061323,train
47,2.8379864699944255,train
48,2.1876633789512994,train
49,2.397300086045922,train
50,1.9339620084105034,train
51,1.5626756875399508,train
52,1.4655106860994296,train
53,2.399999787795144,train
54,1.0255660516251408,train
55,2.3993996385579073,train
56,1.0,train
57,691.6,train
58,470.5,train
59,1.0020196273645285,train
60,1.4932377949746822,train
61,1.279607736967181,train
62,1.1179483159572523,train
63,1.0,train
64,138.32,train
65,96.52564102564102,train
66,508.9,train
67,461.6666666666667,train
68,2.3771214012181723,train
69,1.5644649239206794,train
70,1.3936078179693874,train
71,2.035810170820133,train
72,2.399998260914933,train
73,2.1215110929352825,train
74,2.4090586477074365,train
75,2.3076923076923075,train
76,14.360094451003542,train
77,12.308998302207131,train
78,29.568493150684933,train
79,25.901315789473685,train
80,2.405272938918047,train
81,1.1135085364061323,train
82,1.11905710004759,train
83,2.3329170951471525,train
