qname,join_order,exec_sql,cost
53.pkl,Leading((((mk t) mc) mi)),/*+ Rows(t #355041) Rows(mk #11008) Rows(mc #555201) Rows(mi #6181550) Rows(mk t #1546) Rows(mc t #187115) Rows(mi t #2083326) Rows(mc mk t #4200) Rows(mi mk t #64045) Rows(mc mi t #5660005) Rows(mc mi mk t #127035)  */ explain (format json) SELECT COUNT(*) FROM ((movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN movie_info as mi WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND  t.production_year<2000 AND  t.production_year>1950 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,107463.38
43.pkl,Leading((mk (mi (mc t)))),/*+ Rows(t #725186) Rows(mi #1281848) Rows(mk #1884971) Rows(mc #1087137) Rows(mi t #882402) Rows(mk t #1297582) Rows(mc t #748367) Rows(mi mk t #11148025) Rows(mc mi t #4694188) Rows(mc mk t #6902855) Rows(mc mi mk t #43298668)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN title as t)) WHERE  mi.info_type_id=16 AND  t.production_year>1990 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,2687093.05
45.pkl,Leading((((mi t) mi_idx) ci)),/*+ Rows(t #1053462) Rows(mi #49040) Rows(mi_idx #192170) Rows(ci #15101810) Rows(mi t #49040) Rows(mi_idx t #192170) Rows(ci t #15101810) Rows(mi mi_idx t #47765) Rows(ci mi t #1796168) Rows(ci mi_idx t #7038473) Rows(ci mi mi_idx t #837137)  */ explain (format json) SELECT COUNT(*) FROM ((movie_info as mi CROSS JOIN title as t) CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN cast_info as ci WHERE  mi.info_type_id=105 AND  mi_idx.info_type_id=100 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,987407.39
47.pkl,Leading((ci ((t mi_idx) mi))),/*+ Rows(t #1053462) Rows(mi #619185) Rows(mi_idx #192170) Rows(ci #15101810) Rows(mi t #619185) Rows(mi_idx t #192170) Rows(ci t #15101810) Rows(mi mi_idx t #603077) Rows(ci mi t #22678460) Rows(ci mi_idx t #7038473) Rows(ci mi mi_idx t #10569708)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi) WHERE  mi.info_type_id=3 AND  mi_idx.info_type_id=100 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,2041812.01
55.pkl,Leading((((mk t) mc) mi)),/*+ Rows(t #730162) Rows(mk #11008) Rows(mc #555201) Rows(mi #6181550) Rows(mk t #3179) Rows(mc t #384813) Rows(mi t #4284474) Rows(mc mk t #8637) Rows(mi mk t #131711) Rows(mc mi t #11640109) Rows(mc mi mk t #261255)  */ explain (format json) SELECT COUNT(*) FROM ((movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN movie_info as mi WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND  t.production_year<2010 AND  t.production_year>1950 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,115709.93
20.pkl,Leading((ci t)),/*+ Rows(t #119285) Rows(ci #15101810) Rows(ci t #1710005)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN title as t WHERE  t.production_year<1995 AND  t.production_year>1980 AND t.id = ci.movie_id,1166176.95
28.pkl,Leading((ci (mc t))),/*+ Rows(t #418883) Rows(mc #1087137) Rows(ci #5212138) Rows(mc t #432273) Rows(ci t #2072477) Rows(ci mc t #5464341)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  ci.role_id=1 AND  t.production_year>2005 AND t.id = ci.movie_id AND t.id = mc.movie_id,848463.65
8.pkl,Leading((mi (mk t))),/*+ Rows(t #725186) Rows(mi #6181550) Rows(mk #1884971) Rows(mi t #4255277) Rows(mk t #1297582) Rows(mi mk t #53759961)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_keyword as mk CROSS JOIN title as t) WHERE  t.production_year>1990 AND t.id = mi.movie_id AND t.id = mk.movie_id,1390626.28
22.pkl,Leading((ci t)),/*+ Rows(t #582308) Rows(ci #15101810) Rows(ci t #8347628)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN title as t WHERE  t.production_year<2010 AND  t.production_year>1980 AND t.id = ci.movie_id,1390190.91
44.pkl,Leading((mc ((t mk) ci))),/*+ Rows(t #1053462) Rows(ci #15101810) Rows(mk #37699) Rows(mc #1087137) Rows(ci t #15101810) Rows(mk t #15708) Rows(mc t #1087137) Rows(ci mk t #575322) Rows(ci mc t #39817790) Rows(mc mk t #83562) Rows(ci mc mk t #1516909)  */ explain (format json) SELECT COUNT(*) FROM movie_companies as mc CROSS JOIN ((title as t CROSS JOIN movie_keyword as mk) CROSS JOIN cast_info as ci) WHERE  mk.keyword_id=117 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mk.movie_id,356541.0
49.pkl,Leading(((ci (mi t)) mc)),/*+ Rows(t #1053462) Rows(mi #1281848) Rows(mc #1087137) Rows(ci #3215175) Rows(mi t #1281848) Rows(mc t #1087137) Rows(ci t #3215175) Rows(mc mi t #6819148) Rows(ci mi t #9995508) Rows(ci mc t #8477208) Rows(ci mc mi t #26354394)  */ explain (format json) SELECT COUNT(*) FROM (cast_info as ci CROSS JOIN (movie_info as mi CROSS JOIN title as t)) CROSS JOIN movie_companies as mc WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id,1909913.81
13.pkl,Leading(((mc t) mi)),/*+ Rows(t #163690) Rows(mi #6181550) Rows(mc #555201) Rows(mi t #960510) Rows(mc t #86269) Rows(mc mi t #2609524)  */ explain (format json) SELECT COUNT(*) FROM (movie_companies as mc CROSS JOIN title as t) CROSS JOIN movie_info as mi WHERE  mc.company_type_id=2 AND  t.production_year>2010 AND t.id = mc.movie_id AND t.id = mi.movie_id,546102.27
1.pkl,Leading(((mi_idx t) mc)),/*+ Rows(t #1053462) Rows(mc #555201) Rows(mi_idx #184) Rows(mc t #555201) Rows(mi_idx t #184) Rows(mc mi_idx t #500)  */ explain (format json) SELECT COUNT(*) FROM (movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mi_idx.info_type_id=112 AND t.id = mc.movie_id AND t.id = mi_idx.movie_id,1539.14
30.pkl,Leading((ci (mc t))),/*+ Rows(t #725186) Rows(mc #1087137) Rows(ci #15101810) Rows(mc t #748367) Rows(ci t #10395836) Rows(ci mc t #27409907)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  t.production_year>1990 AND t.id = ci.movie_id AND t.id = mc.movie_id,1668637.03
46.pkl,Leading((mi ((mi_idx t) ci))),/*+ Rows(t #271010) Rows(mi #619185) Rows(mi_idx #192534) Rows(ci #15101810) Rows(mi t #159290) Rows(mi_idx t #49531) Rows(ci t #3885039) Rows(mi mi_idx t #155440) Rows(ci mi t #5834182) Rows(ci mi_idx t #1814125) Rows(ci mi mi_idx t #2724279)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN cast_info as ci) WHERE  mi.info_type_id=3 AND  mi_idx.info_type_id=101 AND  t.production_year<2014 AND  t.production_year>2008 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,1627041.05
9.pkl,Leading((mk (t mi_idx))),/*+ Rows(t #418883) Rows(mi_idx #192534) Rows(mk #1884971) Rows(mi_idx t #76556) Rows(mk t #749512) Rows(mi_idx mk t #731396)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (title as t CROSS JOIN movie_info_idx as mi_idx) WHERE  mi_idx.info_type_id=101 AND  t.production_year>2005 AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,245171.24
17.pkl,Leading(((mk t) ci)),/*+ Rows(t #18) Rows(mk #250) Rows(ci #15101810) Rows(mk t #1) Rows(ci t #251) Rows(ci mk t #1)  */ explain (format json) SELECT COUNT(*) FROM (movie_keyword as mk CROSS JOIN title as t) CROSS JOIN cast_info as ci WHERE  mk.keyword_id=8200 AND  t.production_year>2014 AND t.id = ci.movie_id AND t.id = mk.movie_id,3281.02
38.pkl,Leading((((mi_idx t) mi) mk)),/*+ Rows(t #43372) Rows(mi #533262) Rows(mk #1884971) Rows(mi_idx #192534) Rows(mi t #21955) Rows(mk t #77607) Rows(mi_idx t #7927) Rows(mi mk t #277375) Rows(mi mi_idx t #21425) Rows(mi_idx mk t #75731) Rows(mi mi_idx mk t #270671)  */ explain (format json) SELECT COUNT(*) FROM ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) CROSS JOIN movie_keyword as mk WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.kind_id=1 AND  t.production_year>2010 AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,182015.17
16.pkl,Leading(((t mk) ci)),/*+ Rows(t #18) Rows(mk #1884971) Rows(ci #15101810) Rows(mk t #31) Rows(ci t #251) Rows(ci mk t #1147)  */ explain (format json) SELECT COUNT(*) FROM (title as t CROSS JOIN movie_keyword as mk) CROSS JOIN cast_info as ci WHERE  t.production_year>2014 AND t.id = ci.movie_id AND t.id = mk.movie_id,70102.4
52.pkl,Leading(((mk t) ci)),/*+ Rows(t #152425) Rows(mk #1884971) Rows(ci #15101810) Rows(mk t #272736) Rows(ci t #2185075) Rows(ci mk t #9989293)  */ explain (format json) SELECT COUNT(*) FROM (movie_keyword as mk CROSS JOIN title as t) CROSS JOIN cast_info as ci WHERE  t.kind_id=1 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mk.movie_id,2485214.96
5.pkl,Leading(((t mk) mc)),/*+ Rows(t #1053462) Rows(mc #1087137) Rows(mk #37699) Rows(mc t #1087137) Rows(mk t #15708) Rows(mc mk t #83562)  */ explain (format json) SELECT COUNT(*) FROM (title as t CROSS JOIN movie_keyword as mk) CROSS JOIN movie_companies as mc WHERE  mk.keyword_id=117 AND t.id = mc.movie_id AND t.id = mk.movie_id,164470.49
7.pkl,Leading((mi (mk t))),/*+ Rows(t #163690) Rows(mi #6181550) Rows(mk #1884971) Rows(mi t #960510) Rows(mk t #292893) Rows(mi mk t #12134808)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_keyword as mk CROSS JOIN title as t) WHERE  t.production_year>2010 AND t.id = mi.movie_id AND t.id = mk.movie_id,740102.01
68.pkl,Leading(((((mk t) ci) mi) mc)),/*+ Rows(t #353285) Rows(mi #1281848) Rows(mc #1087137) Rows(ci #3215175) Rows(mk #250) Rows(mi t #429876) Rows(mc t #364579) Rows(ci t #1078230) Rows(mk t #84) Rows(mc mi t #2286846) Rows(ci mi t #3352059) Rows(mi mk t #720) Rows(ci mc t #2842887) Rows(mc mk t #446) Rows(ci mk t #654) Rows(ci mc mi t #8838119) Rows(mc mi mk t #2798) Rows(ci mi mk t #2033) Rows(ci mc mk t #1724) Rows(ci mc mi mk t #5359)  */ explain (format json) SELECT COUNT(*) FROM (((movie_keyword as mk CROSS JOIN title as t) CROSS JOIN cast_info as ci) CROSS JOIN movie_info as mi) CROSS JOIN movie_companies as mc WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  mk.keyword_id=7084 AND  t.production_year<2010 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,40271.56
56.pkl,Leading((mk (mc ((mi_idx t) mi)))),/*+ Rows(t #273022) Rows(mi #533262) Rows(mk #1884971) Rows(mi_idx #192534) Rows(mc #1087137) Rows(mi t #138204) Rows(mk t #488521) Rows(mi_idx t #49898) Rows(mc t #281750) Rows(mi mk t #1746025) Rows(mi mi_idx t #134863) Rows(mc mi t #735212) Rows(mi_idx mk t #476714) Rows(mc mk t #2598826) Rows(mc mi_idx t #265449) Rows(mi mi_idx mk t #1703824) Rows(mc mi mk t #6781519) Rows(mc mi mi_idx t #692676) Rows(mc mi_idx mk t #2448468) Rows(mc mi mi_idx mk t #6389167)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_companies as mc CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi)) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2008 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,552906.29
69.pkl,Leading(((((mk t) ci) mi) mc)),/*+ Rows(t #115686) Rows(mi #1281848) Rows(mc #1087137) Rows(ci #3215175) Rows(mk #250) Rows(mi t #140766) Rows(mc t #119384) Rows(ci t #353074) Rows(mk t #27) Rows(mc mi t #748844) Rows(ci mi t #1097656) Rows(mi mk t #236) Rows(ci mc t #930924) Rows(mc mk t #146) Rows(ci mk t #214) Rows(ci mc mi t #2894105) Rows(mc mi mk t #916) Rows(ci mi mk t #666) Rows(ci mc mk t #564) Rows(ci mc mi mk t #1755)  */ explain (format json) SELECT COUNT(*) FROM (((movie_keyword as mk CROSS JOIN title as t) CROSS JOIN cast_info as ci) CROSS JOIN movie_info as mi) CROSS JOIN movie_companies as mc WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  mk.keyword_id=7084 AND  t.production_year<2005 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,14788.92
15.pkl,Leading(((mk t) ci)),/*+ Rows(t #163690) Rows(mk #250) Rows(ci #15101810) Rows(mk t #39) Rows(ci t #2346569) Rows(ci mk t #1423)  */ explain (format json) SELECT COUNT(*) FROM (movie_keyword as mk CROSS JOIN title as t) CROSS JOIN cast_info as ci WHERE  mk.keyword_id=8200 AND  t.production_year>2010 AND t.id = ci.movie_id AND t.id = mk.movie_id,3038.58
31.pkl,Leading(((mk t) mc)),/*+ Rows(t #355041) Rows(mk #11008) Rows(mc #555201) Rows(mk t #1546) Rows(mc t #187115) Rows(mc mk t #4200)  */ explain (format json) SELECT COUNT(*) FROM (movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND  t.production_year<2000 AND  t.production_year>1950 AND t.id = mc.movie_id AND t.id = mk.movie_id,90376.04
34.pkl,Leading((((mi_idx t) mi) mc)),/*+ Rows(t #94705) Rows(mi #619185) Rows(mi_idx #192534) Rows(mc #555201) Rows(mi t #55664) Rows(mi_idx t #17308) Rows(mc t #49912) Rows(mi mi_idx t #54318) Rows(mc mi t #151228) Rows(mc mi_idx t #47024) Rows(mc mi mi_idx t #142479)  */ explain (format json) SELECT COUNT(*) FROM ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mi.info_type_id=3 AND  mi_idx.info_type_id=101 AND  t.production_year<2008 AND  t.production_year>2005 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,257840.05
67.pkl,Leading((mk (mc ((t mi_idx) mi)))),/*+ Rows(t #418883) Rows(mi #533262) Rows(mk #1884971) Rows(mi_idx #192534) Rows(mc #1087137) Rows(mi t #212038) Rows(mk t #749512) Rows(mi_idx t #76556) Rows(mc t #432273) Rows(mi mk t #2678831) Rows(mi mi_idx t #206913) Rows(mc mi t #1127997) Rows(mi_idx mk t #731396) Rows(mc mk t #3987238) Rows(mc mi_idx t #407263) Rows(mi mi_idx mk t #2614084) Rows(mc mi mk t #10404516) Rows(mc mi mi_idx t #1062735) Rows(mc mi_idx mk t #3756552) Rows(mc mi mi_idx mk t #9802550)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_companies as mc CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi)) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2005 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,680315.57
26.pkl,Leading((ci (mc t))),/*+ Rows(t #418284) Rows(ci #3215175) Rows(mc #1087137) Rows(ci t #1276607) Rows(mc t #431655) Rows(ci mc t #3365932)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  ci.role_id=2 AND  t.production_year<2015 AND  t.production_year>2005 AND t.id = ci.movie_id AND t.id = mc.movie_id,586548.32
