qname,join_order,exec_sql,cost
12.pkl,Leading(((mc t) mi)),/*+ Rows(t #418883) Rows(mi #6181550) Rows(mc #555201) Rows(mi t #2457939) Rows(mc t #220762) Rows(mc mi t #6677758)  */ explain (format json) SELECT COUNT(*) FROM (movie_companies as mc CROSS JOIN title as t) CROSS JOIN movie_info as mi WHERE  mc.company_type_id=2 AND  t.production_year>2005 AND t.id = mc.movie_id AND t.id = mi.movie_id,1197204.01
65.pkl,Leading((((mk t) mc) mi)),/*+ Rows(t #19665) Rows(mk #11008) Rows(mc #555201) Rows(mi #6181550) Rows(mk t #85) Rows(mc t #10364) Rows(mi t #115389) Rows(mc mk t #232) Rows(mi mk t #3547) Rows(mc mi t #313489) Rows(mc mi mk t #7036)  */ explain (format json) SELECT COUNT(*) FROM ((movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN movie_info as mi WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND  t.production_year=1998 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,88452.52
48.pkl,Leading((ci ((mc t) mi))),/*+ Rows(t #145280) Rows(mi #1281848) Rows(mc #1087137) Rows(ci #3215175) Rows(mi t #176775) Rows(mc t #149924) Rows(ci t #443395) Rows(mc mi t #940407) Rows(ci mi t #1378449) Rows(ci mc t #1169065) Rows(ci mc mi t #3634450)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN ((movie_companies as mc CROSS JOIN title as t) CROSS JOIN movie_info as mi) WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  t.production_year<2009 AND  t.production_year>2005 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id,1214157.57
58.pkl,Leading((mk (mi (ci (mc t))))),/*+ Rows(t #163690) Rows(mi #1281848) Rows(mc #1087137) Rows(ci #3215175) Rows(mk #1884971) Rows(mi t #199178) Rows(mc t #168923) Rows(ci t #499585) Rows(mk t #292893) Rows(mc mi t #1059582) Rows(ci mi t #1553135) Rows(mi mk t #2516355) Rows(ci mc t #1317217) Rows(mc mk t #1558126) Rows(ci mk t #2283902) Rows(ci mc mi t #4095033) Rows(mc mi mk t #9773463) Rows(ci mi mk t #7100317) Rows(ci mc mk t #6021791) Rows(ci mc mi mk t #18720863)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info as mi CROSS JOIN (cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t))) WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  t.production_year>2010 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,5432761.06
6.pkl,Leading((mi (mk t))),/*+ Rows(t #418883) Rows(mi #6181550) Rows(mk #1884971) Rows(mi t #2457939) Rows(mk t #749512) Rows(mi mk t #31052909)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_keyword as mk CROSS JOIN title as t) WHERE  t.production_year>2005 AND t.id = mi.movie_id AND t.id = mk.movie_id,966037.95
70.pkl,Leading((mk (ci ((t mi_idx) mi)))),/*+ Rows(t #575260) Rows(mi #619185) Rows(mi_idx #192170) Rows(ci #15101810) Rows(mk #1884971) Rows(mi t #338116) Rows(mi_idx t #104938) Rows(ci t #8246593) Rows(mk t #1029320) Rows(mi mi_idx t #329320) Rows(ci mi t #12383949) Rows(mi mk t #4271668) Rows(ci mi_idx t #3843475) Rows(mi_idx mk t #1002541) Rows(ci mk t #37700149) Rows(ci mi mi_idx t #5771764) Rows(mi mi_idx mk t #4160539) Rows(ci mi mk t #56614494) Rows(ci mi_idx mk t #17570839) Rows(ci mi mi_idx mk t #26386213)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (cast_info as ci CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi)) WHERE  mi.info_type_id=3 AND  mi_idx.info_type_id=100 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,2743842.61
27.pkl,Leading(((mc t) ci)),/*+ Rows(t #101622) Rows(ci #3215175) Rows(mc #1087137) Rows(ci t #310152) Rows(mc t #104870) Rows(ci mc t #817753)  */ explain (format json) SELECT COUNT(*) FROM (movie_companies as mc CROSS JOIN title as t) CROSS JOIN cast_info as ci WHERE  ci.role_id=2 AND  t.production_year<2010 AND  t.production_year>2007 AND t.id = ci.movie_id AND t.id = mc.movie_id,590128.51
25.pkl,Leading(((ci t) mc)),/*+ Rows(t #1053462) Rows(ci #106720) Rows(mc #1087137) Rows(ci t #106720) Rows(mc t #1087137) Rows(ci mc t #281380)  */ explain (format json) SELECT COUNT(*) FROM (cast_info as ci CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  ci.role_id=7 AND t.id = ci.movie_id AND t.id = mc.movie_id,301608.61
60.pkl,Leading((mk (mi (ci (mc t))))),/*+ Rows(t #575260) Rows(mi #1281848) Rows(mc #1087137) Rows(ci #3215175) Rows(mk #1884971) Rows(mi t #699974) Rows(mc t #593649) Rows(ci t #1755700) Rows(mk t #1029320) Rows(mc mi t #3723708) Rows(ci mi t #5458213) Rows(mi mk t #8843275) Rows(ci mc t #4629120) Rows(mc mk t #5475754) Rows(ci mk t #8026362) Rows(ci mc mi t #14391253) Rows(mc mi mk t #34347072) Rows(ci mi mk t #24952780) Rows(ci mc mk t #21162496) Rows(ci mc mi mk t #65791092)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info as mi CROSS JOIN (cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t))) WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,29351539.7
64.pkl,Leading((mk ((mi_idx t) ci))),/*+ Rows(t #110990) Rows(mk #1884971) Rows(ci #15101810) Rows(mi_idx #192534) Rows(mk t #198595) Rows(ci t #1591087) Rows(mi_idx t #20285) Rows(ci mk t #7273818) Rows(mi_idx mk t #193795) Rows(ci mi_idx t #742960) Rows(ci mi_idx mk t #3396519)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN cast_info as ci) WHERE  mi_idx.info_type_id=101 AND  t.kind_id=1 AND  t.production_year>2005 AND t.id = ci.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,722903.39
